Parent Name,Area Name,Time period,Value,Count,Compared to England value or percentiles,Compared to Region value or percentiles
North West region,Wigan,2019 - 21,12.4117034233651,106.0,Similar,Similar
North West region,Knowsley,2019 - 21,10.0023149311858,39.0,Similar,Similar
North West region,Liverpool,2019 - 21,10.9726415171842,143.0,Similar,Similar
North West region,St. Helens,2019 - 21,14.0051582022861,66.0,Worse,Similar
North West region,Sefton,2019 - 21,9.99954855629395,71.0,Similar,Similar
North West region,Wirral,2019 - 21,11.3975673398108,93.0,Similar,Similar
Yorkshire and the Humber region,Barnsley,2019 - 21,14.7614902192469,96.0,Worse,Similar
Yorkshire and the Humber region,Doncaster,2019 - 21,14.9778503241466,122.0,Worse,Similar
Yorkshire and the Humber region,Rotherham,2019 - 21,13.2196516922365,89.0,Worse,Similar
Yorkshire and the Humber region,Sheffield,2019 - 21,11.0464525123713,168.0,Similar,Similar
North East region,Newcastle upon Tyne,2019 - 21,11.5548120836048,85.0,Similar,Similar
North East region,North Tyneside,2019 - 21,10.9645268659157,59.0,Similar,Similar
North East region,South Tyneside,2019 - 21,7.71872494038458,32.0,Similar,Better
North East region,Sunderland,2019 - 21,14.2005875975951,103.0,Worse,Similar
West Midlands region,Birmingham,2019 - 21,8.69176251727355,243.0,Better,Better
West Midlands region,Coventry,2019 - 21,9.25280979305268,89.0,Similar,Similar
West Midlands region,Dudley,2019 - 21,10.305500311074,86.0,Similar,Similar
West Midlands region,Sandwell,2019 - 21,11.1577758420832,93.0,Similar,Similar
West Midlands region,Solihull,2019 - 21,10.301321535337,59.0,Similar,Similar
West Midlands region,Walsall,2019 - 21,9.04920356897475,65.0,Similar,Similar
West Midlands region,Wolverhampton,2019 - 21,7.92063104174397,53.0,Better,Better
Yorkshire and the Humber region,Bradford,2019 - 21,9.82998726043299,132.0,Similar,Better
Yorkshire and the Humber region,Calderdale,2019 - 21,16.9063761466857,94.0,Worse,Worse
Yorkshire and the Humber region,Kirklees,2019 - 21,11.2075023837234,127.0,Similar,Similar
Yorkshire and the Humber region,Leeds,2019 - 21,13.8634862211004,281.0,Worse,Similar
Yorkshire and the Humber region,Wakefield,2019 - 21,17.3148893664711,159.0,Worse,Worse
North East region,Gateshead,2019 - 21,9.58602396418345,51.0,Similar,Better
London region,Barking and Dagenham,2019 - 21,8.81630761602811,44.0,Similar,Similar
London region,Barnet,2019 - 21,4.7682702575573,50.0,Better,Better
London region,Bexley,2019 - 21,7.22530420878012,47.0,Better,Similar
London region,Brent,2019 - 21,5.26452619498812,47.0,Better,Better
London region,Bromley,2019 - 21,5.13669185423053,43.0,Better,Better
London region,Camden,2019 - 21,8.89787050722334,55.0,Similar,Similar
London region,Croydon,2019 - 21,6.21614563977185,62.0,Better,Similar
London region,Ealing,2019 - 21,9.78485483593144,83.0,Similar,Worse
London region,Enfield,2019 - 21,5.30838904680476,44.0,Better,Better
London region,Greenwich,2019 - 21,6.83792029192535,47.0,Better,Similar
London region,Hackney,2019 - 21,8.59745690432151,56.0,Similar,Similar
London region,Hammersmith and Fulham,2019 - 21,12.9122748992518,70.0,Similar,Worse
London region,Haringey,2019 - 21,7.24060098674667,50.0,Better,Similar
London region,Harrow,2019 - 21,5.37467391304082,34.0,Better,Similar
London region,Havering,2019 - 21,8.44726534102315,57.0,Similar,Similar
London region,Hillingdon,2019 - 21,8.82920836473241,70.0,Similar,Similar
London region,Hounslow,2019 - 21,8.84216534748439,63.0,Similar,Similar
London region,Islington,2019 - 21,7.85897970091733,41.0,Similar,Similar
London region,Kensington and Chelsea,2019 - 21,10.238240016221,43.0,Similar,Worse
London region,Kingston upon Thames,2019 - 21,7.898383341161,36.0,Similar,Similar
London region,Lambeth,2019 - 21,5.66021503907758,45.0,Better,Similar
London region,Lewisham,2019 - 21,8.33323816207768,62.0,Similar,Similar
London region,Merton,2019 - 21,6.47971184974019,37.0,Better,Similar
London region,Newham,2019 - 21,5.96318089843264,54.0,Better,Similar
London region,Redbridge,2019 - 21,7.68050826574394,57.0,Better,Similar
London region,Richmond upon Thames,2019 - 21,7.08396120409127,37.0,Better,Similar
London region,Southwark,2019 - 21,9.015501957911,70.0,Similar,Similar
London region,Sutton,2019 - 21,10.6037376280693,56.0,Similar,Worse
London region,Tower Hamlets,2019 - 21,6.6255198466913,58.0,Better,Similar
London region,Waltham Forest,2019 - 21,6.53554395015776,47.0,Better,Similar
London region,Wandsworth,2019 - 21,7.45814876873603,60.0,Better,Similar
London region,Westminster,2019 - 21,7.3886616061657,51.0,Better,Similar
East of England region,Cambridgeshire,2019 - 21,10.3598621774182,180.0,Similar,Similar
North West region,Cumbria,2019 - 21,15.5461997263798,199.0,Worse,Worse
East Midlands region,Derbyshire,2019 - 21,11.5117148180362,244.0,Similar,Similar
South West region,Devon,2019 - 21,12.4554557998714,263.0,Worse,Similar
South East region,East Sussex,2019 - 21,12.1312203793453,179.0,Similar,Similar
East of England region,Essex,2019 - 21,10.7418165410644,418.0,Similar,Similar
South West region,Gloucestershire,2019 - 21,11.3058921817527,192.0,Similar,Similar
South East region,Hampshire,2019 - 21,8.93620111214141,321.0,Better,Better
East of England region,Hertfordshire,2019 - 21,7.70560999077166,238.0,Better,Better
South East region,Kent,2019 - 21,11.6548788588421,479.0,Worse,Similar
North West region,Lancashire,2019 - 21,13.4818001108043,425.0,Worse,Worse
East Midlands region,Leicestershire,2019 - 21,8.69072810649886,164.0,Better,Better
East Midlands region,Lincolnshire,2019 - 21,12.1011017946644,242.0,Worse,Worse
East of England region,Norfolk,2019 - 21,10.580014334293,256.0,Similar,Similar
Yorkshire and the Humber region,North Yorkshire,2019 - 21,11.3438800849216,183.0,Similar,Similar
East Midlands region,Nottinghamshire,2019 - 21,10.2888737964297,226.0,Similar,Similar
South East region,Oxfordshire,2019 - 21,10.0324773658941,181.0,Similar,Similar
South West region,Somerset,2019 - 21,15.0541649382869,219.0,Worse,Worse
West Midlands region,Staffordshire,2019 - 21,11.910168602373,277.0,Worse,Similar
East of England region,Suffolk,2019 - 21,10.3875050709301,208.0,Similar,Similar
South East region,Surrey,2019 - 21,10.0968174654603,316.0,Similar,Similar
West Midlands region,Warwickshire,2019 - 21,11.2150520169177,172.0,Similar,Similar
South East region,West Sussex,2019 - 21,11.5333120198493,265.0,Similar,Similar
West Midlands region,Worcestershire,2019 - 21,12.0157921156481,186.0,Similar,Similar
